address;description;name;capacity;numberBedrooms;size;price;rating;start;end;id
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock1;3;2;420;100;0,356362633;2023-02-23;2023-03-18;0
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock2;2;3;69;200;1,052910956;2023-02-24;2023-03-19;1
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock3;5;4;239;300;3,613606819;2023-02-25;2023-03-20;2
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock4;4;5;80;400;0,321357677;2023-02-26;2023-03-21;3
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock5;8;1;23;500;2,710792459;2023-02-27;2023-03-22;4
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock6;7;2;53;600;4,248603618;2023-02-28;2023-03-23;5
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock7;4;3;59;700;4,938947305;2023-03-01;2023-03-24;6
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock8;5;4;23;800;1,405554729;2023-03-02;2023-03-25;7
Da Nang;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock9;3;5;54;900;1,151570886;2023-03-03;2023-03-26;8
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock10;2;1;435;1000;4,445223228;2023-03-04;2023-03-27;9
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock11;5;2;234;1100;2,768999468;2023-03-05;2023-03-28;10
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock12;4;3;54;1200;1,074922399;2023-03-06;2023-03-29;11
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock13;8;4;243;1300;0,298515851;2023-03-07;2023-03-30;12
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock14;7;5;54;1400;4,901045868;2023-03-08;2023-03-31;13
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock15;4;1;34;1500;0,765714721;2023-03-09;2023-04-01;14
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock16;5;2;43;1600;4,222038919;2023-03-10;2023-04-02;15
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock17;3;3;54;1700;0,085146418;2023-03-11;2023-04-03;16
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock18;2;4;23;1800;4,781187981;2023-03-12;2023-04-04;17
Ho Chi Minh;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock19;5;5;54;1900;3,075872502;2023-03-13;2023-04-05;18
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock20;4;1;43;2000;1,26116052;2023-03-14;2023-04-06;19
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock21;8;2;23;2100;2,367201053;2023-03-15;2023-04-07;20
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock22;7;3;43;2200;3,753289131;2023-03-16;2023-04-08;21
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock23;4;4;54;2300;2,79917594;2023-03-17;2023-04-09;22
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock24;5;5;23;2400;0,909235465;2023-03-18;2023-04-10;23
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock25;3;1;84;2500;0,224356499;2023-03-19;2023-04-11;24
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock26;2;2;54;2600;4,571710143;2023-03-20;2023-04-12;25
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock27;5;3;23;2700;3,98991641;2023-03-21;2023-04-13;26
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock28;4;4;54;2800;3,839538589;2023-03-22;2023-04-14;27
Mekong Delta;this is a description I guess, I cba writing anything proper but this is a long text I guess so deal with this as a mock value;mock29;8;5;48;2900;1,962031651;2023-03-23;2023-04-15;28
